"date","teams","venue","time"
"Sun Jun 3","Brumbies vs Sunwolves","GIO Stadium, Canberra","4:05 PM"
"Fri Jun 29","Blues vs Reds","Eden Park, Auckland","5:35 PM"
"Fri Jun 29","Rebels vs Waratahs","AAMI Park, Melbourne","7:45 PM"
"Sat Jun 30","Highlanders vs Chiefs","Forsyth Barr Stadium, Dunedin","5:35 PM"
"Sat Jun 30","Brumbies vs Hurricanes","GIO Stadium, Canberra","7:45 PM"
"Sat Jun 30","Sunwolves vs Bulls","Singapore National Stadium, Singapore","9:55 PM"
"Sun Jul 1","Sharks vs Lions","Growthport Kings Park, Durban","1:15 AM"
"Sun Jul 1","Jaguares vs Stormers","Velez Sarsfield, Buenos Aires","5:40 AM"
"Fri Jul 6","Crusaders vs Highlanders","AMI Stadium, Christchurch","5:35 PM"
"Fri Jul 6","Reds vs Rebels","Suncorp Stadium, Brisbane","7:45 PM"
"Sat Jul 7","Chiefs vs Brumbies","FMG Stadium, Waikato","3:15 PM"
"Sat Jul 7","Hurricanes vs Blues","TBC","5:35 PM"
"Sat Jul 7","Waratahs vs Sunwolves","Allianz Stadium, Sydney","7:45 PM"
"Sat Jul 7","Bulls vs Jaguares","Loftus Versfeld, Pretoria","11:05 PM"
"Sun Jul 8","Stormers vs Sharks","DHL Newlands, Cape Town","1:15 AM"
"Fri Jul 13","Chiefs vs Hurricanes","FMG Stadium, Waikato","5:35 PM"
"Fri Jul 13","Reds vs Sunwolves","Suncorp Stadium, Brisbane","7:45 PM"
"Sat Jul 14","Highlanders vs Rebels","Forsyth Barr Stadium, Dunedin","3:15 PM"
"Sat Jul 14","Crusaders vs Blues","AMI Stadium, Christchurch","5:35 PM"
"Sat Jul 14","Waratahs vs Brumbies","Allianz Stadium, Sydney","7:45 PM"
"Sat Jul 14","Lions vs Bulls","Emirates Airlines Park, Johannesburg","11:05 PM"
"Sun Jul 15","Sharks vs Jaguares","Growthport Kings Park, Durban","1:15 AM"
"Sat Jul 21","TBC vs TBC","TBC","TBC"
"Sat Jul 21","TBC vs TBC","TBC","TBC"
"Sat Jul 21","TBC vs TBC","TBC","TBC"
"Sat Jul 21","TBC vs TBC","TBC","TBC"
"Sat Jul 28","TBC vs TBC","TBC","TBC"
"Sat Jul 28","TBC vs TBC","TBC","TBC"
"Sat Aug 4","TBC vs TBC","TBC","TBC"
